owner,campaigns,lfp_campaigns
0D1QKmD6zdPYDXmCfKm5mvIHjYf2,2,0
0D1omBwjj8MqGRp5uNpbgh1EFkJ2,1,0
0D8RUPleVITDFJgexL2CLdB32mK2,2,0
0D9K2nSnZff7R2u09cefrNa0tv02,1,0
0DAcDWok7UbRJOebB3473uMbvxR2,1,0
0DFj49hReicR9MTcEBVvVqWZc0D3,5,0
0DJNaoqU74Z5DKEqouirb2Qmo0A2,1,0
0DKLuB7xCkYVXMzLridPS26D7Tf1,1,0
0DS47KA3tVUgkya5FD5cMyQGjof2,1,0
0DTl57TtAjYv5KRx0YVhW61nvOR2,1,0
0DUuihvztuXfxPuzmvedxRYfVcf2,1,0
0DVJGAw5Oog837EaYecJdJ6TgMg2,1,0
0DYJfRM6O3cO3qcFAHbtyMmohjQ2,1,0
0DcVgY3jeaXZpY46P73SrHH0GtX2,1,0
0DdY2mcMJVbm7CIlFraxXy03i583,1,0
0Df4Au73s4PE64JyprfRs1fbeeh2,1,0
0DiWsolG1ehbntVl99DHBqGcATj2,1,0
0DkuXng77vOZx6mjbdJ51E5ZHEX2,1,0
0DlsnAZErqeNd0u8l2bYWWHxa2v1,1,0
0DnuIgq9deTOQOTWsuNQaMftcTt1,1,0
0DqUfaRWQIRrT9vEvDDngbIUEsf2,1,0
0Dth9JDqCZhVnXJfwcvl8kuZQpy2,1,0
0DwADPy1wdctiNB5l6d0DF2cCiz2,59,0
0Dx5p84CNJTZCrKZNopP3ijp5Du2,1,0
0DzDICDweWfHBOaaOg5kXWE0Mok1,1,0
0DzJPazNBwheBt5VOuCzsMR9Lu63,1,0
0DzRaZx8QehBUfhd63YSfCHBfTZ2,9,0
0E7LXrKaV8hl5hqpNIpaJMzt3cU2,10,0
0EC4gBxc8rS6EMqWw9ReBsQGH2I3,3,0
0EDVCHHHoOhhKwnI1An81t2FhL33,1,0
0EEQ3m3SnCPaurd2YnasjEmUQM12,1,0
0EHVUn6d3FhoUqacrlt5HnlDq2Q2,1,0
0EIR9NleSGQX2j8RRAkBcRsRCoG3,1,0
0EIdncwZIaelU20CnA0Wc1x0l3z2,12,3
0ELI6MQV4cYfMCwtrzzrblvjwVs1,3,0
0ENWBZgmPiRkC8wuAd053H769UQ2,2,0
0EUTvCE14XWGMdiinGZyENmqrAd2,1,0
